Numero Factura;Fecha y Hora;Nombre Cliente;Documento Cliente;Nombre Producto;Codigo de Barras;Cantidad;Precio;Descuento Porcentaje;Metodo Pago;Subtotal Factura;IVA Factura;Total Factura;Usuario Vendedor;Anulada
FAC-713;2026-07-07;;;BUSOS UNISEX MUNDIAL 2026 (M);26319425;1;70000;0;Transferencia o depósito;70000;0;70000;admin;NO
FAC-712;2026-07-07;;;CAMISETAS NIÑO COLOMBIA AAA AMARILLA (18);114887;1;70000;0;Tarjeta de débito;70000;0;70000;admin;NO
FAC-711;2026-07-07;;;CAMISETAS CABALLERO PORTUGAL 1.1 VISITANTE (XXL);11222234;1;86000;0;Efectivo;86000;0;86000;admin;NO
FAC-710;2026-07-07;;;CAMISETAS CABALLERO CUELLO REDONDO TIPO GALLETA (M);11229125;1;42000;0;Efectivo;42000;0;42000;admin;NO
FAC-709;2026-07-07;;;CAMISETAS CABALLERO COLOMBIA 1.1 AMARILLA (M);1128725;1;70000;0;Transferencia o depósito;70000;0;70000;admin;NO
FAC-708;2026-07-07;;;CONJUNTO UNISEX DE COLOMBIA (VA);40311131;1;35000;0;Transferencia o depósito;35000;0;35000;admin;NO
FAC-707;2026-07-07;;;CAMISETAS DAMA COLOMBIA 1.1 AMARILLA (L);1118723;1;80000;0;Transferencia o depósito;80000;0;80000;admin;NO
FAC-706;2026-07-07;;;CAMISETAS DAMA COLOMBIA 1.1 AMARILLA (L);1118723;2;80000;0;Transferencia o depósito;80000;0;80000;admin;NO
FAC-705;2026-07-07;;;CAMISETAS NIÑO COLOMBIA AAA AMARILLA (18);114887;1;70000;0;Tarjeta de débito;70000;0;70000;admin;NO
FAC-704;2026-07-07;;;BUSOS CABALLERO CUELLO REDONDO (M);26210825;1;56000;0;Tarjeta de débito;56000;0;56000;admin;NO
FAC-703;2026-07-07;;;CAMISETAS CABALLERO COLOMBIA 1.1 AMARILLA (M);1128725;1;70000;0;Efectivo;70000;0;70000;admin;NO
FAC-702;2026-07-07;;;BUSOS UNISEX MUNDIAL 2026 (L);26319423;1;70000;0;Tarjeta de débito;70000;0;70000;admin;NO
FAC-701;2026-07-07;;;CAMISETAS CABALLERO COLOMBIA 1.1 AMARILLA (L);1128723;1;70000;0;Transferencia o depósito;70000;0;70000;admin;NO
FAC-700;2026-07-07;;;JEANS DAMA 4 BOTONES (8);1142;1;64000;0;Efectivo;64000;0;64000;admin;NO
FAC-700;2026-07-07;;;BLUSAS DAMA AMBAR (UN);612430;1;46000;0;;46000;0;46000;admin;NO
FAC-699;2026-07-07;;;CAMISETAS CABALLERO COLOMBIA 1.1 AMARILLA (L);1128723;1;70000;0;Tarjeta de crédito;70000;0;70000;admin;NO
FAC-699;2026-07-07;;;CHAQUETAS UNISEX SELECCION COLOMBIA ENCAUCHETADA (XL);25329032;1;140000;0;;140000;0;140000;admin;NO
FAC-698;2026-07-07;;;CAMISETAS UNISEX COLOMBIA AAA POLO AMARILLA (XL);11331132;1;60000;0;Efectivo;60000;0;60000;admin;NO
FAC-697;2026-07-07;;;JEANS DAMA BLANCO (34);1129215;1;68000;0;Efectivo;68000;0;68000;admin;NO
FAC-696;2026-07-07;;;BUSOS UNISEX MUNDIAL 2026 (L);26319423;1;70000;0;Efectivo;70000;0;70000;admin;NO
FAC-696;2026-07-07;;;CAMISETAS UNISEX COLOMBIA AAA POLO AZUL (S);11329627;1;60000;0;;60000;0;60000;admin;NO
FAC-695;2026-07-07;;;CHAQUETAS UNISEX SELECCION COLOMBIA ENCAUCHETADA (M);25329025;1;140000;0;Transferencia o depósito;140000;0;140000;admin;NO
FAC-694;2026-07-07;;;CONJUNTO CABALLERO LIVERPOOL AAA LOCAL 2025 (L);40217623;1;60000;0;Transferencia o depósito;60000;0;60000;admin;NO
FAC-693;2026-07-02;;;CAMISETAS CABALLERO COLOMBIA 1.1 AMARILLA (L);1128723;1;70000;0;Tarjeta de débito;70000;0;70000;admin;NO
FAC-692;2026-07-07;;;CHAQUETAS CABALLERO POLO (UN);25221630;1;68000;0;Tarjeta de crédito;68000;0;68000;admin;NO
FAC-692;2026-07-07;;;BUSOS UNISEX MUNDIAL 2026 (S);26319427;1;70000;0;;70000;0;70000;admin;NO
FAC-691;2026-07-07;;;CAMISETAS NIÑO COLOMBIA AAA AMARILLA (18);114887;1;70000;0;Tarjeta de débito;70000;0;70000;admin;NO
FAC-690;2026-07-07;;;BUSOS UNISEX MUNDIAL 2026 (S);26319427;1;70000;0;Tarjeta de débito;70000;0;70000;admin;NO
FAC-690;2026-07-07;;;JEANS DAMA 1 BOTON BOTA RECTA NEGRO (8);113252;1;76000;0;;76000;0;76000;admin;NO
FAC-689;2026-07-07;;;CHAQUETAS CABALLERO POLO SENCILLA (M);25221925;1;90000;0;Tarjeta de crédito;90000;0;90000;admin;NO
FAC-689;2026-07-07;;;JEANS CABALLERO CLASICO (28);127812;1;70000;0;;70000;0;70000;admin;NO
FAC-689;2026-07-07;;;CAMISETAS DAMA COLOMBIA AAA AMARILLA MANGA LARGA (S);11131227;1;60000;0;;60000;0;60000;admin;NO
FAC-689;2026-07-07;;;CAMISETAS DAMA COLOMBIA AAA AZUL OSCURO ENTREVISTA (S);11133327;1;65000;0;;65000;0;65000;admin;NO
FAC-688;2026-07-07;;;CAMISETAS CABALLERO ITALIA 90 (L);11215023;1;70000;0;Efectivo;70000;0;70000;admin;NO
FAC-687;2026-07-07;;;CAMISETAS CABALLERO COLOMBIA 1.1 AMARILLA (S);1128727;1;70000;0;Efectivo;70000;0;70000;admin;NO
FAC-686;2026-07-07;;;CHAQUETAS UNISEX ROMPEVIENTOS NEGRA COLOMBIA (L);25333923;1;100000;0;Transferencia o depósito;100000;0;100000;admin;NO
FAC-686;2026-07-07;;;CAMISETAS CABALLERO OVERSIZE (L);11220223;1;58000;0;;58000;0;58000;admin;NO
FAC-686;2026-07-07;;;CAMISETAS CABALLERO OVERSIZE (M);11220225;1;58000;0;;58000;0;58000;admin;NO
FAC-685;2026-07-07;;;CAMISETAS DAMA COLOMBIA 1.1 AMARILLA (L);1118723;1;80000;0;Transferencia o depósito;80000;0;80000;admin;NO
FAC-684;2026-07-02;;;CAMISETAS CABALLERO DEPORTIVA (S-M);11211328;1;30000;0;Transferencia o depósito;30000;0;30000;admin;NO
FAC-683;2026-07-02;;;BUSOS UNISEX MUNDIAL 2026 (M);26319425;1;70000;0;Efectivo;70000;0;70000;admin;NO
FAC-682;2026-07-07;;;STRAPLE DAMA TIRA CUELLO (UN);51126330;1;40000;0;Efectivo;40000;0;40000;admin;NO
FAC-682;2026-07-07;;;BLUSAS DAMA AMBAR (UN);612430;1;46000;0;;46000;0;46000;admin;NO
FAC-681;2026-07-02;;;CAMISETAS CABALLERO POLO TIPO GALLETA ACANALADA (M);11232425;1;64000;0;Tarjeta de débito;64000;0;64000;admin;NO
FAC-681;2026-07-02;;;BERMUDAS DAMA DRILL (VA);5112131;2;52000;0;;52000;0;52000;admin;NO
FAC-680;2026-07-02;;;BILLETERAS DAMA BILLETERA MUJER (UN);2313150;1;26000;0;Tarjeta de crédito;26000;0;26000;admin;NO
FAC-680;2026-07-02;;;BUSOS UNISEX ALGODON SIN ESTAMPADO (XL);2632332;1;44000;0;;44000;0;44000;admin;NO
FAC-680;2026-07-02;;;PANTALONES UNISEX ALGODON (XL);231632;1;32000;0;;32000;0;32000;admin;NO
FAC-679;2026-07-02;;;ANILLOS UNISEX ANILLO 4 (VA);2832831;1;16000;0;Tarjeta de débito;16000;0;16000;admin;NO
FAC-679;2026-07-02;;;DRILL DAMA CAMUFLADO (8);421662;1;99000;0;;99000;0;99000;admin;NO
FAC-679;2026-07-02;;;BAMBA DAMA BAMBA SATIN (UN);631420;2;3000;0;;3000;0;3000;admin;NO
FAC-679;2026-07-02;;;CAMISETAS DAMA COLOMBIA AAA AMARILLA MANGA LARGA (S);11131227;1;60000;0;;60000;0;60000;admin;NO
FAC-678;2026-07-02;;;PANTALONES DAMA GAMUSA (UN);2113730;1;70000;0;Tarjeta de débito;70000;0;70000;admin;NO
FAC-678;2026-07-02;;;PANTALONES DAMA MARIPOSA (XL);2118432;1;70000;0;;70000;0;70000;admin;NO
FAC-678;2026-07-02;;;PANTALONES DAMA MARIPOSA (UN);2118430;1;70000;0;;70000;0;70000;admin;NO
FAC-678;2026-07-02;;;BLUSAS DAMA ACANALADA MANGA CORTA (UN);6135130;1;30000;0;;30000;0;30000;admin;NO
FAC-678;2026-07-02;;;SACO DAMA CORAZON LOVE (UN);3919730;1;59000;0;;59000;0;59000;admin;NO
FAC-677;2026-07-02;;;CAMISETAS UNISEX SEDA FRÍA (L);11324923;1;70000;0;Transferencia o depósito;70000;0;70000;admin;NO
FAC-676;2026-07-01;;;CONJUNTO NIÑO DE COLOMBIA (6);4041111;1;35000;0;Efectivo;35000;0;35000;admin;NO
FAC-676;2026-07-01;;;CONJUNTO UNISEX DE COLOMBIA (VA);40311131;1;35000;0;;35000;0;35000;admin;NO
FAC-675;2026-07-01;;;CHAQUETAS CABALLERO COLUMBIA NACIONAL (XL);25228932;1;82000;0;Efectivo;82000;0;82000;admin;NO
FAC-674;2026-07-01;;;CONJUNTO CABALLERO ARGENTINA AAA LOCAL (L);4023323;1;70000;0;Efectivo;70000;0;70000;admin;NO
FAC-673;2026-07-01;;;CINTURON+BILLETERA CABALLERO CAJA VERSACE (UN);502620;1;60000;0;Transferencia o depósito;60000;0;60000;admin;NO
FAC-672;2026-07-02;;;JEANS CABALLERO JOGGER (32);1215614;1;70000;0;Efectivo;70000;0;70000;admin;NO
FAC-672;2026-07-02;;;DRILL CABALLERO JUVENIL (32);42215814;1;70000;0;;70000;0;70000;admin;NO
FAC-671;2026-07-01;;;CAMISETAS CABALLERO COLOMBIA AAA AMARILLA (L);1128823;1;60000;0;Efectivo;60000;0;60000;admin;NO
FAC-670;2026-07-01;;;PANTALONES UNISEX IMPERMEABLE (XXL);2314534;1;40000;0;Tarjeta de débito;40000;0;40000;admin;NO
FAC-669;2026-07-01;;;CAMISETAS DAMA COLOMBIA AAA AZUL OSCURO ENTREVISTA (L);11133323;1;65000;0;Efectivo;65000;0;65000;admin;NO
FAC-668;2026-07-02;;;CHAQUETAS CABALLERO CANGURO AIR (L);2526823;1;68000;0;Transferencia o depósito;68000;0;68000;admin;NO
FAC-667;2026-07-01;;;CAMISETAS DAMA CON BRILLANTES (L);1119123;1;28000;0;Transferencia o depósito;28000;0;28000;admin;NO
FAC-667;2026-07-01;;;BLUSAS DAMA LICRADA MANGA LARGA (UN);611710;1;25000;0;;25000;0;25000;admin;NO
FAC-666;2026-07-02;;;CAMISETAS CABALLERO POLO SEDA FRIA (XL);11221832;1;48000;0;Efectivo;48000;0;48000;admin;NO
FAC-665;2026-07-01;;;CHAQUETAS CABALLERO ABIERTA AIR (L);252723;1;72000;0;A convenir;72000;0;72000;admin;NO
FAC-664;2026-07-01;;;LEGGINS DAMA ALGODON (XL);4411632;1;34000;0;Transferencia o depósito;34000;0;34000;admin;NO
FAC-663;2026-07-02;;;CHAQUETAS UNISEX ROMPEVIENTOS NEGRA COLOMBIA (M);25333925;1;100000;0;Transferencia o depósito;100000;0;100000;admin;NO
FAC-663;2026-07-02;;;BUSOS UNISEX MUNDIAL 2026 (S);26319427;1;70000;0;;70000;0;70000;admin;NO
FAC-662;2026-07-02;;;BILLETERAS DAMA BILLETERA LOUIS VUITTON (UN);2313190;1;66000;0;Transferencia o depósito;66000;0;66000;admin;NO
FAC-662;2026-07-02;;;BILLETERAS DAMA BILLETERA KARL (UN);2313200;1;70000;0;;70000;0;70000;admin;NO
FAC-662;2026-07-02;;;PECHERAS CABALLERO DIFERENTES MARCAS (UN);1921180;1;48000;0;;48000;0;48000;admin;NO
FAC-662;2026-07-02;;;BILLETERAS CABALLERO MONT BLANC (UN);2321910;1;70000;0;;70000;0;70000;admin;NO
FAC-662;2026-07-02;;;CHAQUETAS CABALLERO CANGURO AIR (L);2526823;1;68000;0;;68000;0;68000;admin;NO
FAC-662;2026-07-02;;;CHAQUETAS UNISEX SELECCION COLOMBIA ENCAUCHETADA (L);25329023;1;140000;0;;140000;0;140000;admin;NO
FAC-661;2026-07-01;;;CHAQUETAS DAMA PAÑO OVEJERA (L);25120523;1;90000;0;Tarjeta de débito;90000;0;90000;admin;NO
FAC-661;2026-07-01;;;CHAQUETAS DAMA PAÑO OVEJERA (M);25120525;1;90000;0;;90000;0;90000;admin;NO
FAC-660;2026-07-07;;;CHAQUETAS UNISEX ROMPEVIENTOS ROJA COLOMBIA (S);25334027;1;100000;0;Efectivo;100000;0;100000;admin;NO
